product name,brand,price,number of colors/scent,rating
'Chill Cooling and Hydrating Makeup Setting Spray','Urban Decay Cosmetics',$32.00,0,4.50
'Perk It Under-Eye Treatment Brightener','Julep',$13.00,0,3.40
'Oil Free Eye Makeup Remover','Neutrogena',$7.99,0,4.50
'Travel Size De-Slick Oil Control Makeup Setting Spray','Urban Decay Cosmetics',$15.00,0,4.30
'Peach Pop Blush Palette','ULTA',$18.00,0,4.50
'Can&#39;t Stop Won&#39;t Stop Concealer','NYX Professional Makeup',$8.50,24,4.10
'PhotoFocus Stick Foundation','Wet n Wild',$3.59,16,3.70
'Acne Solutions Clearing Concealer','Clinique',$18.50,0,4.10
'CC+ Radiance Ombre Blush','It Cosmetics',$24.00,3,4.60
'Amazonian Clay Matte Waterproof Bronzer','Tarte',$30.00,2,4.70
'Insta-Grip Jelly Primer 3-in-1 Multi-Tasking Primer','Dermablend',$33.00,0,4.40
'STEM CELLULAR CC Cream','Juice Beauty',$39.00,5,3.80
'PhotoFocus Liquid Foundation','Wet n Wild',$3.59,20,3.60
'Skin Love Weightless Blur Foundation','BECCA',$44.00,24,4.00
'HD Finishing Powder','NYX Professional Makeup',$10.00,3,4.20
'Prep + Prime Natural Radiance','MAC',$42.00,2,4.60
'Travel Size Hangover Replenishing Face Primer','Too Faced',$16.00,0,4.50
'Online Only Glow Time Full Coverage Mineral BB Cream','jane iredale',$50.00,10,4.60
'Take the Day Off Micellar Cleansing Towelettes for Face &amp; Eyes','Clinique',$14.50,0,4.40
'Online Only Double Wear Nude Water Fresh Makeup Broad Spectrum SPF 30','Estée Lauder',$42.00,12,4.30
'Matte Bronzer','NYX Professional Makeup',$9.00,3,4.10
'Baked Sculpt &amp; Glow 3-in-1 Palette','ULTA',$15.00,3,4.70
'Powder Bronzer','Anastasia Beverly Hills',$28.00,6,4.70
